DATE,LES1252881900Q
1979-01-01,408
1979-04-01,405
1979-07-01,399
1979-10-01,393
1980-01-01,385
1980-04-01,378
1980-07-01,380
1980-10-01,377
1981-01-01,376
1981-04-01,373
1981-07-01,369
1981-10-01,375
1982-01-01,374
1982-04-01,379
1982-07-01,378
1982-10-01,377
1983-01-01,381
1983-04-01,379
1983-07-01,384
1983-10-01,376
1984-01-01,375
1984-04-01,376
1984-07-01,377
1984-10-01,378
1985-01-01,376
1985-04-01,381
1985-07-01,377
1985-10-01,377
1986-01-01,378
1986-04-01,383
1986-07-01,383
1986-10-01,385
1987-01-01,383
1987-04-01,379
1987-07-01,381
1987-10-01,383
1988-01-01,382
1988-04-01,380
1988-07-01,378
1988-10-01,378
1989-01-01,380
1989-04-01,380
1989-07-01,373
1989-10-01,381
1990-01-01,373
1990-04-01,371
1990-07-01,367
1990-10-01,362
1991-01-01,366
1991-04-01,360
1991-07-01,361
1991-10-01,362
1992-01-01,359
1992-04-01,359
1992-07-01,357
1992-10-01,354
1993-01-01,352
1993-04-01,354
1993-07-01,355
1993-10-01,353
1994-01-01,356
1994-04-01,354
1994-07-01,348
1994-10-01,354
1995-01-01,350
1995-04-01,352
1995-07-01,354
1995-10-01,356
1996-01-01,355
1996-04-01,355
1996-07-01,355
1996-10-01,355
1997-01-01,360
1997-04-01,359
1997-07-01,361
1997-10-01,361
1998-01-01,364
1998-04-01,364
1998-07-01,368
1998-10-01,372
1999-01-01,368
1999-04-01,373
1999-07-01,372
1999-10-01,374
2000-01-01,374
2000-04-01,374
2000-07-01,370
2000-10-01,372
2001-01-01,372
2001-04-01,375
2001-07-01,386
2001-10-01,382
2002-01-01,380
2002-04-01,378
2002-07-01,376
2002-10-01,376
2003-01-01,376
2003-04-01,378
2003-07-01,378
2003-10-01,379
2004-01-01,378
2004-04-01,380
2004-07-01,376
2004-10-01,376
2005-01-01,376
2005-04-01,369
2005-07-01,368
2005-10-01,368
2006-01-01,370
2006-04-01,364
2006-07-01,372
2006-10-01,370
2007-01-01,368
2007-04-01,370
2007-07-01,372
2007-10-01,368
2008-01-01,368
2008-04-01,372
2008-07-01,367
2008-10-01,377
2009-01-01,384
2009-04-01,383
2009-07-01,381
2009-10-01,379
2010-01-01,384
2010-04-01,374
2010-07-01,377
2010-10-01,376
2011-01-01,370
2011-04-01,370
2011-07-01,370
2011-10-01,369
2012-01-01,368
2012-04-01,380
2012-07-01,364
2012-10-01,375
2013-01-01,370
2013-04-01,372
2013-07-01,367
2013-10-01,369
2014-01-01,367
2014-04-01,363
2014-07-01,370
2014-10-01,371
2015-01-01,377
2015-04-01,376
2015-07-01,377
2015-10-01,380
2016-01-01,380
2016-04-01,382
2016-07-01,381
2016-10-01,382
2017-01-01,386
2017-04-01,385
2017-07-01,385
2017-10-01,382
2018-01-01,383
2018-04-01,385
2018-07-01,389
2018-10-01,392
2019-01-01,392
2019-04-01,394
2019-07-01,394
2019-10-01,395
2020-01-01,408
2020-04-01,426
2020-07-01,427
